file,model,dataset,accuracy,precision_macro,recall_macro,f1_macro,auc_macro,precision_class_1,recall_class_1,f1_class_1,auc_class_1,precision_class_2,recall_class_2,f1_class_2,auc_class_2,precision_class_3,recall_class_3,f1_class_3,auc_class_3,precision_class_4,recall_class_4,f1_class_4,auc_class_4
clusters-4-v0.csv,RF_leaf4_depth5,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999
clusters-4-v0.csv,RF_leaf4_depth5,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,RF_leaf5_depth2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,RF_leaf5_depth2,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,RF_leaf5_depth3,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,RF_leaf5_depth3,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,RF_leaf5_depth4,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,RF_leaf5_depth4,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,RF_leaf5_depth5,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999
clusters-4-v0.csv,RF_leaf5_depth5,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,"MLP(5,)",train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,"MLP(5,)",test,0.9976851851851852,0.9976415094339622,0.9976190476190476,0.9976189936279733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761905,0.9952153110047847,1.0,0.9905660377358491,1.0,0.995260663507109,1.0
clusters-4-v0.csv,"MLP(5, 5)",train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,"MLP(5, 5)",test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,"MLP(5, 5, 5)",train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,"MLP(5, 5, 5)",test,0.9953703703703703,0.9957264957264957,0.9952380952380953,0.9954409814323608,1.0,1.0,1.0,1.0,1.0,0.9829059829059829,1.0,0.9913793103448276,1.0,1.0,0.9809523809523809,0.9903846153846154,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,"MLP(10,)",train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v0.csv,"MLP(10,)",test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v1.csv,LogisticRegression,train,0.9484126984126984,0.9484732419542712,0.9483586319903456,0.9484032882905802,0.9946164500115421,0.9561752988047809,0.9486166007905138,0.9523809523809523,0.9954977357799126,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9948056811191056,0.9263565891472868,0.9372549019607843,0.9317738791423001,0.9913288024373095,0.968503937007874,0.9647058823529412,0.9666011787819253,0.9968335807098403
clusters-4-v1.csv,LogisticRegression,test,0.9629629629629629,0.9629052485774184,0.9633250130608928,0.9630149241413084,0.9983967302041582,0.9716981132075472,0.9626168224299065,0.9671361502347418,0.9989360172537742,0.9732142857142857,0.9478260869565217,0.960352422907489,0.9970100123439858,0.9444444444444444,0.9714285714285714,0.9577464788732394,0.9984855104121159,0.9622641509433962,0.9714285714285714,0.966824644549763,0.9991553808067569
clusters-4-v1.csv,LogisticRegression+Poly(deg2),train,0.9484126984126984,0.9488224043715847,0.9483263661195704,0.9484711628972662,0.9947926530943885,0.964,0.9525691699604744,0.9582504970178927,0.99598984372955,0.9426229508196722,0.9387755102040817,0.9406952965235174,0.9949715141626768,0.9166666666666666,0.9490196078431372,0.9325626204238922,0.991089237819962,0.972,0.9529411764705882,0.9623762376237623,0.9971200166653647
clusters-4-v1.csv,LogisticRegression+Poly(deg2),test,0.9699074074074074,0.9703096223333991,0.9702163270834543,0.9699834965020314,0.9982773608999991,0.9719626168224299,0.9719626168224299,0.9719626168224299,0.9982458662832494,0.9821428571428571,0.9565217391304348,0.9691629955947136,0.9973391852969414,0.9369369369369369,0.9904761904761905,0.9629629629629629,0.9983981360128149,0.9901960784313726,0.9619047619047619,0.9758454106280193,0.99912625600699
clusters-4-v1.csv,SVC_linear,train,0.9474206349206349,0.9478002684620767,0.9473459739627077,0.9474891411224798,0.994345211769774,0.9563492063492064,0.9525691699604744,0.9544554455445544,0.9941051749862576,0.9465020576131687,0.9387755102040817,0.9426229508196722,0.9952122395485061,0.9163498098859315,0.9450980392156862,0.9305019305019305,0.9910996536728902,0.972,0.9529411764705882,0.9623762376237623,0.9969637788714423
clusters-4-v1.csv,SVC_linear,test,0.9629629629629629,0.9637007063630281,0.9630734699405972,0.9630546672547627,0.9982988164981117,0.9719626168224299,0.9719626168224299,0.9719626168224299,0.9987634795111431,0.9649122807017544,0.9565217391304348,0.9606986899563319,0.9972568920587025,0.9279279279279279,0.9809523809523809,0.9537037037037037,0.9982816368137469,0.99,0.9428571428571428,0.9658536585365853,0.998893257608854
clusters-4-v1.csv,SVC_rbf,train,0.9474206349206349,0.9476628352490422,0.9473782398334829,0.9474721774264411,0.9948445683588614,0.96,0.9486166007905138,0.9542743538767395,0.9967280056540062,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9949982614277689,0.9195402298850575,0.9411764705882353,0.9302325581395349,0.9910684061141056,0.9682539682539683,0.9568627450980393,0.9625246548323472,0.9965836002395646
